message;severity;node;stamp;location
"I witnessed: \"PUBLISHING TO SECOND TOPIC 33\"";"20";"minimal_subscriber_two";"1773255781.819148615";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"I heard: \"PUBLISHING TO FIRST TOPIC 33\"";"20";"minimal_subscriber";"1773255781.818270353";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"Publishing: \"PUBLISHING TO SECOND TOPIC 33\"";"20";"minimal_publisher";"1773255781.817737787";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"Publishing: \"PUBLISHING TO FIRST TOPIC 33\"";"20";"minimal_publisher";"1773255781.817544528";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"Publishing: \"PUBLISHING TO SECOND TOPIC 32\"";"20";"minimal_publisher";"1773255777.818622401";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 32\"";"20";"minimal_subscriber_two";"1773255777.819350710";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"Publishing: \"PUBLISHING TO FIRST TOPIC 32\"";"20";"minimal_publisher";"1773255777.818393063";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"I heard: \"PUBLISHING TO FIRST TOPIC 32\"";"20";"minimal_subscriber";"1773255777.817904936";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 31\"";"20";"minimal_subscriber_two";"1773255773.819377183";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"Publishing: \"PUBLISHING TO SECOND TOPIC 31\"";"20";"minimal_publisher";"1773255773.818214743";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"I heard: \"PUBLISHING TO FIRST TOPIC 31\"";"20";"minimal_subscriber";"1773255773.817929644";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"Publishing: \"PUBLISHING TO FIRST TOPIC 31\"";"20";"minimal_publisher";"1773255773.817518361";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 30\"";"20";"minimal_subscriber_two";"1773255769.820128921";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"Publishing: \"PUBLISHING TO SECOND TOPIC 30\"";"20";"minimal_publisher";"1773255769.820822299";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"Publishing: \"PUBLISHING TO FIRST TOPIC 30\"";"20";"minimal_publisher";"1773255769.818238473";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"I heard: \"PUBLISHING TO FIRST TOPIC 30\"";"20";"minimal_subscriber";"1773255769.818733672";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 29\"";"20";"minimal_subscriber_two";"1773255765.822576525";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"Publishing: \"PUBLISHING TO SECOND TOPIC 29\"";"20";"minimal_publisher";"1773255765.821033855";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"I heard: \"PUBLISHING TO FIRST TOPIC 29\"";"20";"minimal_subscriber";"1773255765.818287301";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"Publishing: \"PUBLISHING TO FIRST TOPIC 29\"";"20";"minimal_publisher";"1773255765.819055975";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 28\"";"20";"minimal_subscriber_two";"1773255761.823863809";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"Publishing: \"PUBLISHING TO SECOND TOPIC 28\"";"20";"minimal_publisher";"1773255761.820703358";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"Publishing: \"PUBLISHING TO FIRST TOPIC 28\"";"20";"minimal_publisher";"1773255761.818542473";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"I heard: \"PUBLISHING TO FIRST TOPIC 28\"";"20";"minimal_subscriber";"1773255761.819727430";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 27\"";"20";"minimal_subscriber_two";"1773255757.823148412";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"Publishing: \"PUBLISHING TO SECOND TOPIC 27\"";"20";"minimal_publisher";"1773255757.820022802";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"Publishing: \"PUBLISHING TO FIRST TOPIC 27\"";"20";"minimal_publisher";"1773255757.817759064";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"I heard: \"PUBLISHING TO FIRST TOPIC 27\"";"20";"minimal_subscriber";"1773255757.818172356";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"Publishing: \"PUBLISHING TO SECOND TOPIC 26\"";"20";"minimal_publisher";"1773255753.823329780";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 26\"";"20";"minimal_subscriber_two";"1773255753.824364403";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"Publishing: \"PUBLISHING TO FIRST TOPIC 26\"";"20";"minimal_publisher";"1773255753.821681267";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"I heard: \"PUBLISHING TO FIRST TOPIC 26\"";"20";"minimal_subscriber";"1773255753.818506929";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 25\"";"20";"minimal_subscriber_two";"1773255749.820491971";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"Publishing: \"PUBLISHING TO SECOND TOPIC 25\"";"20";"minimal_publisher";"1773255749.819901180";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"Publishing: \"PUBLISHING TO FIRST TOPIC 25\"";"20";"minimal_publisher";"1773255749.818122307";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"I heard: \"PUBLISHING TO FIRST TOPIC 25\"";"20";"minimal_subscriber";"1773255749.818722539";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 24\"";"20";"minimal_subscriber_two";"1773255745.820645098";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
"Publishing: \"PUBLISHING TO SECOND TOPIC 24\"";"20";"minimal_publisher";"1773255745.821109673";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:39"
"I heard: \"PUBLISHING TO FIRST TOPIC 24\"";"20";"minimal_subscriber";"1773255745.818797862";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function.py:listener_callback:33"
"Publishing: \"PUBLISHING TO FIRST TOPIC 24\"";"20";"minimal_publisher";"1773255745.818089579";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/publisher_member_function.py:timer_callback:37"
"I witnessed: \"PUBLISHING TO SECOND TOPIC 23\"";"20";"minimal_subscriber_two";"1773255741.834922185";"/home/rosworker/ROS2Projects/SubscribersandPublishers/1_Publisher_2_Topics_2_Subscribers/wspractice/install/py_pubsub/lib/python3.10/site-packages/py_pubsub/subscriber_member_function_two.py:listener_callback:33"
