message;severity;node;stamp;location
"I heard: \"COUNT: 16, SECONDS SINCE START: 170.0\"";"20";"minimal_subscriber";"1772921571.013681482";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"COUNT: 16, SECONDS SINCE START: 170.0\"";"20";"minimal_publisher";"1772921571.013028932";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node.py:timer_callback:22"
"I heard: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 12, SECONDS SINCE START: 130.0\"";"20";"minimal_subscriber";"1772921570.009764570";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 12, SECONDS SINCE START: 130.0\"";"20";"minimal_publisher";"1772921570.009207931";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node_two.py:timer_callback:22"
"I heard: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 7, SECONDS SINCE START: 96.0 $$$$$$$\"";"20";"minimal_subscriber";"1772921566.880147366";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 7, SECONDS SINCE START: 96.0 $$$$$$$\"";"20";"minimal_publisher";"1772921566.879435322";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node_three.py:timer_callback:22"
"Publishing: \"COUNT: 15, SECONDS SINCE START: 160.0\"";"20";"minimal_publisher";"1772921561.014070348";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node.py:timer_callback:22"
"I heard: \"COUNT: 15, SECONDS SINCE START: 160.0\"";"20";"minimal_subscriber";"1772921561.013547028";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 11, SECONDS SINCE START: 120.0\"";"20";"minimal_publisher";"1772921560.010391625";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node_two.py:timer_callback:22"
"I heard: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 11, SECONDS SINCE START: 120.0\"";"20";"minimal_subscriber";"1772921560.010211688";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"I heard: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 6, SECONDS SINCE START: 84.0 $$$$$$$\"";"20";"minimal_subscriber";"1772921554.880152014";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 6, SECONDS SINCE START: 84.0 $$$$$$$\"";"20";"minimal_publisher";"1772921554.879462793";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node_three.py:timer_callback:22"
"I heard: \"COUNT: 14, SECONDS SINCE START: 150.0\"";"20";"minimal_subscriber";"1772921551.013653636";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"COUNT: 14, SECONDS SINCE START: 150.0\"";"20";"minimal_publisher";"1772921551.013251556";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node.py:timer_callback:22"
"Publishing: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 10, SECONDS SINCE START: 110.0\"";"20";"minimal_publisher";"1772921550.009500016";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node_two.py:timer_callback:22"
"I heard: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 10, SECONDS SINCE START: 110.0\"";"20";"minimal_subscriber";"1772921550.010066309";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 5, SECONDS SINCE START: 72.0 $$$$$$$\"";"20";"minimal_publisher";"1772921542.879075593";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node_three.py:timer_callback:22"
"I heard: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 5, SECONDS SINCE START: 72.0 $$$$$$$\"";"20";"minimal_subscriber";"1772921542.879917186";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"I heard: \"COUNT: 13, SECONDS SINCE START: 140.0\"";"20";"minimal_subscriber";"1772921541.013657300";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"I heard: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 9, SECONDS SINCE START: 100.0\"";"20";"minimal_subscriber";"1772921540.010181014";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"COUNT: 13, SECONDS SINCE START: 140.0\"";"20";"minimal_publisher";"1772921541.012956751";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node.py:timer_callback:22"
"Publishing: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 9, SECONDS SINCE START: 100.0\"";"20";"minimal_publisher";"1772921540.010684815";"/home/rosworker/ROS2Projects/wspractice/build/my_first_package/my_first_package/publisher_node_two.py:timer_callback:22"
