message;severity;node;stamp;location
"I heard: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 3, SECONDS SINCE START: 48.0 $$$$$$$\"";"20";"minimal_subscriber";"1772920447.194252430";"/home/rosworker/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 3, SECONDS SINCE START: 48.0 $$$$$$$\"";"20";"minimal_publisher";"1772920447.193647811";"/home/rosworker/wspractice/build/my_first_package/my_first_package/publisher_node_three.py:timer_callback:22"
"Publishing: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 6, SECONDS SINCE START: 70.0\"";"20";"minimal_publisher";"1772920445.510237562";"/home/rosworker/wspractice/build/my_first_package/my_first_package/publisher_node_two.py:timer_callback:22"
"I heard: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 6, SECONDS SINCE START: 70.0\"";"20";"minimal_subscriber";"1772920445.509758626";"/home/rosworker/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"I heard: \"COUNT: 7, SECONDS SINCE START: 80.0\"";"20";"minimal_subscriber";"1772920443.793871503";"/home/rosworker/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"COUNT: 7, SECONDS SINCE START: 80.0\"";"20";"minimal_publisher";"1772920443.793294282";"/home/rosworker/wspractice/build/my_first_package/my_first_package/publisher_node.py:timer_callback:22"
"I heard: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 5, SECONDS SINCE START: 60.0\"";"20";"minimal_subscriber";"1772920435.510053236";"/home/rosworker/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 5, SECONDS SINCE START: 60.0\"";"20";"minimal_publisher";"1772920435.509445221";"/home/rosworker/wspractice/build/my_first_package/my_first_package/publisher_node_two.py:timer_callback:22"
"I heard: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 2, SECONDS SINCE START: 36.0 $$$$$$$\"";"20";"minimal_subscriber";"1772920435.194340384";"/home/rosworker/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"Publishing: \"PUBLISHER NUMBER 3 $$$$$$$. COUNT: 2, SECONDS SINCE START: 36.0 $$$$$$$\"";"20";"minimal_publisher";"1772920435.193640020";"/home/rosworker/wspractice/build/my_first_package/my_first_package/publisher_node_three.py:timer_callback:22"
"Publishing: \"COUNT: 6, SECONDS SINCE START: 70.0\"";"20";"minimal_publisher";"1772920433.793957890";"/home/rosworker/wspractice/build/my_first_package/my_first_package/publisher_node.py:timer_callback:22"
"I heard: \"COUNT: 6, SECONDS SINCE START: 70.0\"";"20";"minimal_subscriber";"1772920433.793563613";"/home/rosworker/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
"I heard: \"THIS IS COMING FROM THE SECOND PUBLISHER. COUNT: 4, SECONDS SINCE START: 50.0\"";"20";"minimal_subscriber";"1772920425.510115982";"/home/rosworker/wspractice/build/my_first_package/my_first_package/subscriber_node.py:listener_callback:21"
